Datein,FR(m3/dia),BODin (ppm),CODin (ppm),SSin(ppm),pHin,NAmin(ppm),NNin (ppm),Pin (ppm),Colin(ppm),Tin(°C),Condin L1,RF(mm),Pulp(ton/dia),Pap (ton/dia),,Dateout,BODout(ppm),CODout (ppm),SSout(ppm),Colout(ppm),Tout(°C),Condout,FRout(m3/dia)
2/21/1999,69176,233,623,,"7,17",,,,626,,1588,"0,0","1011,751","1240,1",,2/21/1999,89,429,,619,38,1603,69176
2/22/1999,65892,235,628,,"7,01",3,,"1,44",620,"48,5",1499,"9,2","998,002","1178,2",,2/22/1999,104,416,,665,37,1628,66369
2/23/1999,64551,223,618,,"6,79","1,9",,"0,79",624,48,1434,"0,1","920,339","1118,9",,2/23/1999,103,409,,715,36,1606,64556
2/24/1999,66053,241,742,99,"10,37","1,4",,,654,"48,5",1904,"0,0","841,214","880,9",,2/24/1999,110,457,32,654,36,1856,66053
2/25/1999,71076,253,656,,"7,45","3,4",,,598,,1519,"36,8","1000,105","1162,4",,2/25/1999,94,389,,598,36,1595,72984
2/26/1999,70506,270,621,,"6,97",2,,"1,06",633,,1478,"18,2","948,96","1008,5",,2/26/1999,97,397,,610,"35,5",1586,71449
2/27/1999,68937,285,693,,"6,7",,,,624,,1624,"4,6","987,03","1009,9",,2/27/1999,81,396,,624,36,1554,69175
2/28/1999,69229,237,651,,"6,62",,,,629,,1636,"25,4","1030,671","1010,6",,2/28/1999,91,424,,629,37,1564,70546
3/1/1999,70759,221,594,,"6,62","2,6","2,47",,530,47,1396,"33,0","880,037","1054,7",,3/1/1999,108,418,,620,36,1573,72470
3/2/1999,65329,229,600,,"6,65","3,1",3,,475,"46,5",1315,"0,1","846,608","1023,8",,3/2/1999,83,403,,605,36,1494,65334
3/3/1999,67490,216,605,133,"6,79","2,2",,,549,46,1372,"0,0","971,173","1114,1",,3/3/1999,87,358,93,563,37,1451,67490
3/4/1999,67658,212,555,,"7,07","2,1",,,519,47,1552,"0,0","936,426","1111,6",,3/4/1999,85,342,,519,33,1646,67658
3/5/1999,66100,141,499,,"6,91","0,02","1,76",,532,47,1708,"0,0","925,608","1044,3",,3/5/1999,54,344,,491,36,1507,66100
3/6/1999,71445,164,602,,"8,99",,,,502,,1768,"24,2","903,633","1069,5",,3/6/1999,46,312,,488,35,1582,72699
3/7/1999,66661,155,563,,"7,31",,,,578,,1609,"0,6","964,498","1101,4",,3/7/1999,53,340,,566,"38,5",1583,66692
3/8/1999,63445,163,535,,"7,05","1,8",,"1,71",467,48,1516,"0,1","904,498","1100,1",,3/8/1999,64,345,,589,37,1712,63450
3/9/1999,62618,204,556,97,"6,98","1,6",,"1,13",495,48,1403,"0,0","878,426","1144,5",,3/9/1999,66,315,63,582,36,1586,62618
3/10/1999,59942,238,628,,"10,64","1,7",,,808,48,1921,"1,6","564,809","900,5",,3/10/1999,65,304,,539,37,1537,60025
3/11/1999,70709,240,612,,"10,02","3,6",,,582,,1744,"77,0","906,956","1034,5",,3/11/1999,80,348,,583,37,1683,74700
3/12/1999,64643,204,576,,"7,47","3,5",,"1,2",617,,1540,"0,0","685,575","918,2",,3/12/1999,93,333,,658,"37,5",1668,64643
3/13/1999,61594,161,715,,"7,48",,,,527,,1600,"0,0","910,413","1076,7",,3/13/1999,76,291,,570,37,1651,61594
3/14/1999,62203,224,537,,"7,33",,,,522,,1686,"0,1","962,085","1109,8",,3/14/1999,70,364,,545,"36,5",1644,62208
3/15/1999,61456,232,581,,"7,16","1,1","2,25",,558,47,1824,"0,0","956,939","1114,4",,3/15/1999,70,368,,558,30,1700,61456
3/16/1999,62061,223,585,,"7,38","0,6","1,08",,509,47,1644,"0,0","959,342","1202,4",,3/16/1999,94,388,,477,"35,5",1698,62061
3/17/1999,63794,232,593,90,"7,57","2,3",,,502,47,1901,"2,6","915,901","1208,7",,3/17/1999,78,373,31,555,36,1684,63929
3/18/1999,64193,223,581,77,"7,3",,,,534,46,1564,"0,0","864,57","1128,2",,3/18/1999,84,364,,462,36,1748,64193
3/19/1999,61368,301,620,113,"8,64","0,39","1,15",,585,48,1734,"0,0","867,722","982,9",,3/19/1999,113,360,,502,37,1746,61368
3/20/1999,64403,258,623,153,"7,48",,,,598,,1640,"0,0","922,289","1035,9",,3/20/1999,89,324,,505,35,1756,64403
3/21/1999,65946,238,603,115,"7,22",,,,483,,1666,"0,0","969,604",1065,,3/21/1999,95,338,,567,36,1808,65946
3/22/1999,64346,197,595,80,"7,24","0,3",,"0,99",526,50,1776,"0,3","928,464","1100,1",,3/22/1999,81,323,,526,37,1699,64362
3/23/1999,65145,261,590,176,"7,13","0,29",,"0,69",534,"49,5",1696,"43,1","953,74","1177,9",,3/23/1999,88,338,,534,37,1683,67379
3/24/1999,62094,237,590,103,"7,05","0,4",,,549,49,1627,"0,0","978,299","1191,4",,3/24/1999,68,312,25,549,37,1684,62094
3/25/1999,60798,246,644,107,"6,79","0,032",,,543,49,1550,"0,0","827,894","1045,1",,3/25/1999,73,303,,563,37,1631,60798
3/26/1999,65703,185,581,62,"6,98","2,6",,"1,32",494,"48,5",1558,"0,2","927,242","1100,2",,3/26/1999,75,304,,494,37,1768,65713
3/27/1999,61257,166,606,170,"7,01",,,,541,,1715,"0,0","1029,301","1120,7",,3/27/1999,67,345,,541,38,1606,61257
3/28/1999,60783,177,645,107,"6,84",,,,523,,1635,"0,0","947,013","1131,8",,3/28/1999,53,331,,525,37,1561,60783
3/29/1999,63387,223,591,75,"6,82","0,29","1,498",,479,"48,5",1330,"1,7","915,839","1050,9",,3/29/1999,77,323,,479,37,1221,63475
3/30/1999,59909,250,612,152,"6,96","1,1","1,52",,499,49,1615,"0,1","880,431","1086,6",,3/30/1999,84,360,,508,37,1631,59914
3/31/1999,63699,227,534,152,"6,83","0,6",,,545,"46,5",1445,"22,4","904,568","1094,8",,3/31/1999,78,339,54,490,36,1578,64860
4/1/1999,65307,,,,"6,98","1,5",,,546,48,1548,"0,1","868,327","986,8",,4/1/1999,,,,527,36,1585,65312
4/2/1999,63024,,,,"7,14",,,,557,,1668,"0,0","1008,285","1206,5",,4/2/1999,,,,567,36,1548,63024
4/3/1999,62462,,,,"6,9",,,,534,,1806,"0,1","947,156","1141,4",,4/3/1999,,,,546,36,1678,62467
4/4/1999,63059,230,573,82,"6,84",,,,546,,1608,"0,1","924,857","1092,1",,4/4/1999,65,337,,559,"36,5",1698,63064
4/5/1999,63973,260,699,147,"9,19","3,6",,"2,37",527,48,2030,"0,0","890,28","1009,2",,4/5/1999,77,371,,559,37,1676,63973
4/6/1999,63804,277,649,67,"7,29",3,,"1,4",585,48,1584,"0,0","809,596","967,3",,4/6/1999,128,473,,633,"36,5",1942,63804
4/7/1999,60031,240,636,39,"6,33","2,2",,,525,48,1327,"0,0","889,931","1089,8",,4/7/1999,122,424,17,655,37,1765,60031
4/8/1999,61927,,,,"6,74","1,8",,,556,47,1374,"0,0","815,166","995,5",,4/8/1999,,,,633,36,1604,61927
4/9/1999,58462,,,,"7,58",,,,661,,1670,"0,0","955,425","1059,1",,4/9/1999,,,,534,36,1560,58462
4/10/1999,57483,,,,"7,16",,,,563,,1657,"0,0","896,986","950,8",,4/10/1999,,,,614,36,1568,57483
4/11/1999,60576,259,787,39,"6,84",,,,608,,1553,"0,0","979,643","1114,7",,4/11/1999,100,481,,628,36,1606,60576
4/12/1999,64689,251,623,92,"6,96","0,72","2,04",,590,46,1825,"0,0","951,431","1090,5",,4/12/1999,91,364,,587,36,1668,64689
4/13/1999,66234,260,633,55,"6,98",2,"1,77",,619,47,1640,"0,0","1035,512","1098,1",,4/13/1999,106,401,,608,36,1650,66234
4/14/1999,67275,266,614,47,"6,56","2,1",,,552,47,1290,"5,1","971,73","1034,3",,4/14/1999,109,372,27,552,36,1612,67539
4/15/1999,67404,290,673,59,"6,97","2,3",,,548,"45,5",1376,"14,9","984,679","1083,9",,4/15/1999,100,429,,614,36,1579,68176
4/16/1999,64984,271,558,160,"6,7","2,6","1,71",,536,"45,5",1269,"28,8","922,182","1072,4",,4/16/1999,116,381,,611,36,1454,66477
4/17/1999,62003,285,629,112,"6,77",,,,573,,1543,"0,3","959,904","1082,9",,4/17/1999,81,336,,625,34,1432,62019
4/18/1999,62423,251,721,237,"6,57",,,,542,,1683,"0,1","922,102","1056,2",,4/18/1999,106,349,,558,33,1532,62428
4/19/1999,64050,205,703,62,"6,92","2,1",,"0,86",592,"45,5",1753,"0,0","935,159","1006,9",,4/19/1999,83,384,,562,33,1573,64050
4/20/1999,62303,300,646,51,"10,09","2,8",,"0,75",539,45,1560,"0,0","865,261","960,7",,4/20/1999,103,373,,574,"32,5",1775,62303
4/21/1999,62957,238,614,75,"7,26",,,,598,,1834,"0,0","981,078","1143,2",,4/21/1999,98,384,41,589,33,1686,62957
4/22/1999,64797,227,627,33,"6,24",3,,,598,47,1453,"0,0","878,496","1051,9",,4/22/1999,107,380,,551,33,1739,64797
4/23/1999,63678,231,647,27,"7,14",4,,"1,31",446,47,1607,"0,0","719,507","988,4",,4/23/1999,101,367,,598,35,1689,63678
4/24/1999,65274,164,435,131,"6,32",,,,450,,1049,"0,0","608,517","1069,7",,4/24/1999,99,372,,585,34,1568,65274
4/25/1999,54447,214,513,122,7,,,,512,,1320,"0,0","996,924","1156,7",,4/25/1999,88,334,,534,34,1479,54447
4/26/1999,64058,261,656,62,"6,66","0,96","2,41",,557,46,1562,"0,5","965,534","1100,8",,4/26/1999,71,280,,534,32,1329,64084
4/27/1999,66322,258,629,51,"6,93","3,7","2,72",,529,46,1531,"0,0","955,997","1125,5",,4/27/1999,72,308,,486,33,1411,66322
4/28/1999,65532,252,671,46,"6,87","3,3",,,532,47,1692,"0,0","1002,247","1160,1",,4/28/1999,88,355,59,555,"34,5",1432,65532
4/29/1999,65073,264,664,,"6,72",2,,,541,"46,5",1560,"0,0","934,913","1107,3",,4/29/1999,80,359,,555,"34,5",1530,65073
4/30/1999,64716,224,645,107,"7,22","1,6","2,5",,622,"46,5",1753,"0,1","983,521","1103,8",,4/30/1999,72,370,,578,34,1649,64721
5/1/1999,62324,233,605,73,"7,47",,,,545,,1549,"0,0","907,927","1164,8",,5/1/1999,72,376,,585,36,1616,62324
5/2/1999,63435,211,562,296,"7,32",,,,516,,1627,"0,0","876,462",1148,,5/2/1999,65,378,,585,35,1677,63435
5/3/1999,63923,192,548,320,"7,31","0,32",,"0,91",450,47,1417,"0,0","792,728","1006,7",,5/3/1999,73,355,,512,34,1625,63923
5/4/1999,59815,226,534,120,"7,32","1,6",,"1,27",450,"46,5",1713,"0,0","833,472","1111,2",,5/4/1999,89,347,,482,"34,5",1794,59815
5/5/1999,60233,226,513,148,"7,09","0,9",,,462,46,1892,"0,0","796,281","1060,7",,5/5/1999,68,294,49,490,34,1751,60233
5/6/1999,63377,284,626,212,"10,96","0,78",,,536,"46,5",2250,"11,9","821,606","779,3",,5/6/1999,81,294,,402,33,1771,63994
5/7/1999,50060,289,619,25,"9,01","2,4",,"1,34",640,45,1816,"8,4","807,835","983,9",,5/7/1999,71,291,,640,32,1810,50495
5/8/1999,64287,288,649,18,"7,13",,,,501,,1866,"0,0","969,877","1032,2",,5/8/1999,77,285,,501,32,1961,64287
5/9/1999,63356,283,633,95,"7,13",,,,528,,1917,"0,0","1007,698","1099,1",,5/9/1999,75,320,,491,33,1930,63356
5/10/1999,61467,303,676,267,"7,64","0,98","0,702",,529,46,1820,"0,1","925,705","1059,8",,5/10/1999,96,348,,529,33,1840,61472
5/11/1999,60205,248,607,464,"7,54","0,88","0,953",,506,"46,5",1830,"0,0","904,498","1032,6",,5/11/1999,103,348,,500,33,1850,60205
5/12/1999,58059,224,593,209,"7,4","1,4",,,510,"47,5",1774,"1,9","925,268","1122,8",,5/12/1999,84,343,61,495,34,1772,58157
5/13/1999,60700,231,578,183,"7,4","0,98",,,527,46,1827,"0,2","801,123","963,2",,5/13/1999,86,332,,499,35,1848,60710
5/14/1999,63658,220,539,85,"7,1","1,8",,,527,45,1521,"0,0","1010,726","1128,9",,5/14/1999,64,300,,429,34,1870,63658
5/15/1999,61978,210,611,91,"6,99",,,,533,,1821,"0,0","954,164","1127,1",,5/15/1999,73,299,,477,34,1777,61978
5/16/1999,62445,218,664,129,"6,85",,,,485,,1957,"0,0","982,241","1180,3",,5/16/1999,102,348,,530,32,1922,62445
5/17/1999,63221,218,674,52,"7,11","3,9",,"2,343",463,46,1879,"0,1","1032,749","1202,5",,5/17/1999,77,346,,527,32,1948,63226
5/18/1999,64910,263,693,133,"10,47","3,2",,"2,29",459,46,1950,"0,1","883,871","903,4",,5/18/1999,95,374,,459,33,2120,64915
5/19/1999,67318,205,596,54,"7,27","2,6",,,464,45,1931,"0,0","883,495","1015,9",,5/19/1999,106,377,39,453,"31,5",1910,67318
5/20/1999,62561,254,639,311,"7,06","2,1",,,554,45,1761,"0,0","950,926","1088,1",,5/20/1999,144,420,,455,32,1930,62561
5/21/1999,61413,241,650,203,"7,29","1,3",,"0,891",705,44,2270,"0,1","913,142","1035,2",,5/21/1999,120,384,,524,30,1940,61418
5/22/1999,61326,226,610,174,"7,31",,,,700,,2103,"0,1","812,537","1003,7",,5/22/1999,127,408,,594,"30,5",1860,61331
5/23/1999,63381,231,624,63,"7,37",,,,708,,2520,"0,2","865,85","1136,2",,5/23/1999,126,405,,668,31,2340,63391
5/24/1999,47679,186,501,133,"9,27","3,6","5,06",,343,"38,5",3360,"0,0",194,"1106,5",,5/24/1999,162,518,,604,32,2440,47679
5/25/1999,35156,113,297,135,"7,28","1,7","1,73",,385,29,3030,"0,1",0,"1098,9",,5/25/1999,88,380,,706,31,2740,35161
5/26/1999,28506,110,242,75,"7,05","2,5",,,366,28,1994,"0,0",0,"1055,8",,5/26/1999,61,314,62,607,29,2800,28506
5/27/1999,26578,95,186,80,"7,02","0,24",,,346,31,1958,"0,0",0,"1050,9",,5/27/1999,34,253,,502,28,2810,26578
5/28/1999,28236,97,241,209,"6,69","0,39","0,74",,332,29,,"0,0",,"1118,2",,5/28/1999,20,210,,508,28,,28236
5/29/1999,33031,104,218,91,"7,26",,,,562,30,,"0,1",,"1126,5",,5/29/1999,20,164,,508,28,,33036
5/30/1999,55990,202,491,293,"7,18",,,,620,38,1335,"3,5","568,086","1102,4",,5/30/1999,23,190,,531,28,2620,56171
5/31/1999,64324,283,720,568,"7,72","3,1",,"1,24",570,"44,5",1580,"0,0","1068,035","1107,7",,5/31/1999,22,188,,555,28,1790,64324
6/1/1999,63204,249,659,226,"9,8","2,3",,"0,95",528,,1943,"0,1","953,381","946,4",,6/1/1999,33,225,,574,30,1610,63209
6/2/1999,66399,,,,"7,86",3,,,537,,1603,"0,0","900,327",933,,6/2/1999,,,,557,31,1786,66399
6/3/1999,67144,,,,"7,69",,,,469,,1724,"0,0","978,598","1045,1",,6/3/1999,,,,469,31,1761,67144
6/4/1999,62224,,,,"7,22",,,,547,,1703,"0,2","976,69","1115,7",,6/4/1999,,,,530,32,1810,62234
6/5/1999,62326,,,,"7,19",,,,526,,1827,"0,0","983,015","1089,9",,6/5/1999,,,,526,33,1775,62326
6/6/1999,64921,209,637,175,"7,37",,,,594,,1740,"3,5","1023,329",1152,,6/6/1999,95,379,,546,"32,5",1806,65102
6/7/1999,65503,240,682,80,"7,9","2,4","4,03",,589,44,1960,"0,0","990,227",1150,,6/7/1999,95,381,,504,34,1772,65503
6/8/1999,64979,205,611,145,"7,48",1,"1,55",,536,44,1964,"0,1","947,299","1033,6",,6/8/1999,93,403,,551,33,1967,64984
6/9/1999,64825,234,674,347,7,"2,6",,,505,45,1681,"0,1","1041,703","1127,4",,6/9/1999,101,413,34,581,32,1829,64830
6/10/1999,64051,243,607,142,"9,54","3,8",,,482,46,1823,"0,0","853,216","938,7",,6/10/1999,95,371,,552,32,1851,64051
6/11/1999,66236,220,550,195,"7,48","3,2","2,35",,504,45,1884,"0,0","891,556",1049,,6/11/1999,100,367,,504,33,1912,66236
6/12/1999,67692,245,609,84,"7,62",,,,520,,1796,"13,8","1101,672","1073,8",,6/12/1999,89,328,,527,32,1883,68407
6/13/1999,65563,218,667,319,"7,53",,,,519,,1889,"0,2","1056,319","1119,2",,6/13/1999,73,328,,524,32,1622,65573
6/14/1999,65059,208,578,196,"7,29","3,3",,"1,38",528,"46,5",1876,"11,6","1039,081","1121,4",,6/14/1999,99,361,,556,32,1805,65660
6/15/1999,63048,260,632,567,"7,09",3,,"1,39",537,"45,5",1751,"0,2","930,964","1008,6",,6/15/1999,105,358,,533,32,1848,63058
6/16/1999,62842,222,573,152,"7,08",2,,,520,45,1574,"0,1","902,3","1036,8",,6/16/1999,101,364,35,572,32,1722,62847
6/17/1999,62390,280,683,112,"8,13","4,4",,,504,44,1701,"0,2","957,749","1123,2",,6/17/1999,88,361,,524,31,1571,62400
6/18/1999,63202,229,601,231,"6,84","4,4",,"1,4",511,45,1426,"0,0","865,454","1146,3",,6/18/1999,100,375,,520,33,1715,63202
6/19/1999,64033,214,569,191,"7,19",,,,492,,1614,"1,5","946,551","1147,5",,6/19/1999,96,374,,492,32,1700,64111
6/20/1999,69927,224,615,316,"6,99",,,,477,,1564,"36,4","900,608","1151,3",,6/20/1999,95,356,,492,33,1690,64115
6/21/1999,61136,193,520,68,"6,89",3,"1,24",,532,42,1397,"0,0","785,637","1080,2",,6/21/1999,78,328,,499,31,1644,61136
6/22/1999,64948,207,603,137,"7,04","3,2",1,,450,"47,3",1410,"0,3","893,447","1146,2",,6/22/1999,69,323,,495,31,1444,64964
6/23/1999,64583,236,591,90,"6,64","2,4",,,512,41,1597,"0,2","990,542","1075,1",,6/23/1999,78,311,34,497,31,1302,64593
6/24/1999,65171,186,616,101,"6,54","4,2",,,509,43,1370,"0,2","914,372","1034,6",,6/24/1999,85,333,,479,31,1448,65181
6/25/1999,63965,252,600,96,"6,87","2,7","1,44",,529,"43,5",1416,"0,0","905,011","1060,2",,6/25/1999,77,306,,529,,1517,63965
6/26/1999,64850,231,593,147,"7,4",,,,500,,1596,"0,0","864,692","1015,6",,6/26/1999,83,331,,500,31,1530,64850
6/27/1999,63218,228,592,201,"7,1",,,,496,,1440,"0,0","864,105","1091,8",,6/27/1999,90,360,,496,32,1510,63218
6/28/1999,64717,237,595,140,"6,82","4,7",,"1,39",477,44,1435,"0,0","897,235","1064,3",,6/28/1999,71,318,,484,32,1259,64717
6/29/1999,63141,247,611,54,"6,85",3,,"1,2",467,"44,5",1476,"1,3","874,24","1078,5",,6/29/1999,78,312,,465,32,1567,63208
6/30/1999,62546,229,622,132,"7,11","2,6",,,483,"44,5",1400,"0,0","1020,494","1069,3",,6/30/1999,83,325,41,494,32,1512,62546
7/1/1999,62438,224,562,64,"6,83","2,7",,,498,45,1370,"0,1","878,613","1024,2",,7/1/1999,67,319,,469,33,1490,62443
7/2/1999,64741,200,565,100,"7,15","5,6",,"1,27",460,"43,5",1387,"0,0","844,2","994,3",,7/2/1999,64,300,,460,"32,5",1509,64741
7/3/1999,65607,210,630,121,"6,74",,,,473,,1370,"0,0","924,145",1069,,7/3/1999,64,305,,451,32,1390,65607
7/4/1999,63569,152,644,112,"7,26",,,,487,,1587,"0,1","891,124","1072,2",,7/4/1999,41,329,,472,32,1364,63574
7/5/1999,63245,264,614,67,"6,88","2,6",1,,487,45,1444,"0,0","998,945","1063,8",,7/5/1999,79,315,,482,32,1421,63245
7/6/1999,64286,277,638,75,"7,29","2,8","1,76",,456,"45,5",1577,"0,0","927,574","1053,5",,7/6/1999,108,341,,496,33,1336,64286
7/7/1999,65392,262,713,244,"7,01","1,6",,,460,"45,5",1157,"0,0","942,776","1108,6",,7/7/1999,88,351,44,472,33,1433,65392
7/8/1999,66525,,,,"7,52","1,8",,,468,46,1294,"0,0","991,578","1112,9",,7/8/1999,,,,468,34,1497,66525
7/9/1999,67150,,,,"7,27",,,,499,,1441,"1,1","978,708","1115,4",,7/9/1999,,,,479,33,1381,67207
7/10/1999,65046,,,,"9,24",,,,498,,1628,"0,1","906,487","1106,9",,7/10/1999,,,,465,33,1447,65051
7/11/1999,65127,262,627,73,"7,92",,,,469,,1483,"0,0","917,28","1133,4",,7/11/1999,109,389,,490,34,1598,65127
7/12/1999,63568,261,611,120,"7,1",,,,491,,1489,"0,0","961,157","1140,8",,7/12/1999,115,388,,512,33,1639,63568
7/13/1999,65203,302,665,266,"10,25","0,72",,"1,3",473,"44,5",1779,"0,0","978,597","844,4",,7/13/1999,131,386,,476,32,1772,65203
7/14/1999,63702,191,471,186,"10,66","3,9",,,323,"44,5",970,"0,0","539,292",1035,,7/14/1999,137,417,59,511,32,1830,63702
7/15/1999,62327,144,361,156,"10,25","1,2",,,325,37,1201,"0,0","527,751","1064,4",,7/15/1999,118,338,,466,,1433,62327
7/16/1999,67611,199,542,137,"7,5","1,7",,"1,13",492,"44,5",1370,"0,0","906,792",981,,7/16/1999,65,272,,398,"31,5",1590,67611
7/17/1999,65339,243,704,229,"7,43","3,1","2,16",,470,,1493,"0,0","1014,935",1155,,7/17/1999,68,314,,343,32,1569,65339
7/18/1999,58824,277,638,108,"10,36",2,"1,79",,380,,2070,"0,0","639,235","1010,5",,7/18/1999,86,369,,474,33,1602,58824
7/19/1999,63262,262,665,130,"7,05","3,1","2,16",,585,46,1567,"0,0","952,978","1020,4",,7/19/1999,113,352,,466,33,1820,63262
7/20/1999,64401,252,640,78,"6,85",2,"1,79",,540,"44,5",1440,"0,0","978,784","1117,8",,7/20/1999,120,375,,552,34,1604,64401
7/21/1999,63676,264,603,71,"7,17","3,3",,,517,45,1374,"0,0","852,774","1117,2",,7/21/1999,101,310,57,589,34,1621,63676
7/22/1999,65734,273,652,49,"7,05","3,2",,,523,45,1314,"0,2","934,732",1129,,7/22/1999,105,325,,530,34,1524,65744
7/23/1999,67964,274,631,122,"7,07","3,4","1,92",,475,45,1327,"0,4","987,343","1162,6",,7/23/1999,109,361,,468,34,1405,67985
7/24/1999,66711,282,612,85,7,,,,470,,1431,"1,0","1005,275","1186,7",,7/24/1999,99,345,,535,34,1398,66763
7/25/1999,65602,256,609,55,"6,84",,,,494,,1430,"0,1","978,431","1161,8",,7/25/1999,86,349,,494,"33,5",1370,65607
7/26/1999,66029,260,630,51,"6,79","3,5",,"1,65",491,45,1510,"0,1","918,65","1084,7",,7/26/1999,83,339,,491,34,1405,66034
7/27/1999,64438,252,651,164,"6,8","2,9",,"1,58",469,46,1425,"0,0","1014,686","1118,5",,7/27/1999,97,351,,503,34,1494,64438
7/28/1999,64304,332,734,189,"7,03","2,3",,,487,45,1082,"0,0","1071,492","1090,4",,7/28/1999,103,371,54,492,34,1296,64304
7/29/1999,64295,238,591,104,"7,26","1,4",,,517,"45,5",1670,"0,0","1054,163","1082,9",,7/29/1999,83,344,,496,"34,5",1580,64295
7/30/1999,65105,227,648,114,"6,92","1,8",,"1,47",515,"45,5",1697,"0,0","967,361",1070,,7/30/1999,68,358,,515,34,1631,65105
7/31/1999,63960,246,586,91,"7,46",,,,498,,1689,"0,0","912,177","1061,9",,7/31/1999,78,349,,553,34,1647,63960
8/1/1999,65172,239,558,40,"7,03",,,,531,,1462,"0,0","917,455","1105,3",,8/1/1999,68,344,,476,35,1665,65172
8/2/1999,65791,243,593,50,"7,07","2,6","1,06",,493,45,1504,"0,0","952,399","1102,2",,8/2/1999,84,345,,514,34,1606,65791
8/3/1999,66095,217,577,56,"7,48",3,"1,06",,510,"45,5",1565,"0,1","965,931","1070,5",,8/3/1999,77,301,,524,33,1510,66100
8/4/1999,65047,248,600,80,"7,02","3,1",,,489,45,1514,"0,0","922,332","1082,7",,8/4/1999,88,340,49,504,"33,5",1247,65047
8/5/1999,63903,280,621,49,"7,03","3,6",,,512,"42,5",1434,"0,0","1001,783","1153,1",,8/5/1999,103,331,,507,"33,5",1496,63903
8/6/1999,64905,257,622,154,"7,39","3,1","1,34",,535,44,1412,"0,0","840,284","1175,4",,8/6/1999,78,330,,512,33,1492,64905
8/7/1999,63883,290,648,232,"7,42",,,,515,,1412,"0,0","958,481","1122,5",,8/7/1999,91,317,,516,32,1430,63883
8/8/1999,61909,240,589,185,"7,21",,,,527,,1367,"0,0","925,799","1103,1",,8/8/1999,77,313,,545,33,1460,61909
8/9/1999,66419,228,553,144,"6,97","1,4",,"1,26",511,43,1307,"0,1","961,273","1003,2",,8/9/1999,76,327,,463,33,1446,66424
8/10/1999,63510,211,496,86,"7,14","2,5",,"2,5",533,43,1234,"0,1","859,001","1102,3",,8/10/1999,81,307,,525,33,1317,63515
8/11/1999,63494,241,589,102,"7,33","1,7",,,565,43,1582,"0,0","929,065","1125,2",,8/11/1999,91,304,37,565,33,1416,63494
8/12/1999,63832,290,680,170,"7,15","3,1",,,561,43,1638,"0,0","991,523","1101,7",,8/12/1999,77,330,,535,34,1372,63832
8/13/1999,63667,272,598,170,"7,35","2,3",,"1,07",547,44,1342,"0,0","942,108","1112,6",,8/13/1999,80,327,,544,34,1397,63667
8/14/1999,61186,261,560,116,"7,24",,,,543,,1345,"0,0","924,344","1118,4",,8/14/1999,84,326,,576,33,1460,61186
8/15/1999,61637,245,611,88,"7,22",,,,529,,1555,"0,0","935,009","1153,4",,8/15/1999,86,333,,571,34,1271,61637
8/16/1999,62714,218,628,,"6,9","3,1","2,74",,531,,1192,"0,0","875,179","1112,9",,8/16/1999,78,340,,515,31,1331,62714
8/17/1999,61506,260,598,177,"7,28",,,,499,42,1135,"0,0","864,143","1113,8",,8/17/1999,70,309,,495,31,1380,61506
8/18/1999,66771,218,617,179,"10,58","3,7",,,422,41,1530,"0,0","611,558","789,2",,8/18/1999,72,340,37,505,31,1458,66771
8/19/1999,64217,203,517,55,"9,48","3,8",,,517,41,1210,"0,0","897,913","1127,6",,8/19/1999,82,342,,522,32,1401,64217
8/20/1999,63231,222,517,42,"7,2","2,1","1,25",,529,"41,5",1387,"0,0","893,32","1136,7",,8/20/1999,77,297,,534,31,1643,63231
8/21/1999,62750,239,550,79,"7,56",,,,470,,1574,"0,0","907,029","1072,8",,8/21/1999,82,301,,528,32,1570,62750
8/22/1999,62323,210,530,67,"7,433",,,,451,,1506,"0,0","904,694",1110,,8/22/1999,68,302,,472,33,1560,62323
8/23/1999,62713,200,538,106,"7,62","2,8",,"1,63",480,45,1699,"0,0","910,066","1083,1",,8/23/1999,70,289,,442,33,1515,62713
8/24/1999,62308,249,581,239,"7,26","2,6",,"1,27",475,45,1541,"0,0","928,949","1111,5",,8/24/1999,85,300,,465,33,1555,62308
8/25/1999,63791,222,576,404,"7,21","3,2",,,466,45,1460,"0,0","902,709","1077,3",,8/25/1999,76,308,57,483,33,1540,63791
8/26/1999,63136,215,539,237,"7,06","3,8",,,472,45,1360,"0,0","953,553","1118,2",,8/26/1999,72,281,,472,33,1596,63136
8/27/1999,62520,196,558,111,"7,18","2,3",,"1,53",500,"44,5",1503,"0,0","889,483","1116,6",,8/27/1999,55,276,,458,33,1644,62520
8/28/1999,63028,220,589,112,"7,02",,,,518,,1556,"0,0","922,972",1080,,8/28/1999,69,275,,463,33,1501,63028
8/29/1999,62193,213,624,124,"7,11",,,,500,,1573,"0,0","859,269","1088,8",,8/29/1999,61,283,,497,33,1534,62193
8/30/1999,64013,247,598,178,"6,98","2,1","0,95",,469,"45,5",1521,"0,0","943,596","1067,2",,8/30/1999,56,270,,490,34,1544,64013
8/31/1999,64626,255,620,90,"7,08","4,6","0,98",,496,"45,5",1640,"0,0","1027,298","1093,4",,8/31/1999,78,286,,490,34,1516,64626
9/1/1999,61707,244,579,165,"7,26",3,,,524,"45,5",1650,"0,0","861,154","1019,9",,9/1/1999,101,390,50,472,33,1594,61707
9/2/1999,63741,281,663,39,"9,94",6,,,488,45,1910,"0,0","819,758","1114,6",,9/2/1999,105,365,,506,32,1796,63741
